app	total	age_1	age_2	age_3	age_4	age_5	age_6	gini	gain
2345贷款王-借钱借款	10315	5.0	1065.0	3583.0	3216.0	2101.0	344.0	0.796426452903153	1.6279357771320355
4399游戏盒	1043388	58168.0	477183.0	128004.0	113497.0	203131.0	62432.0	0.7949451164528728	1.623871008144684
99围棋	40546	17.0	912.0	1554.0	11037.0	23168.0	3829.0	0.7963048196804503	1.6276527167518269
auto.js	54286	741.0	25935.0	13262.0	8285.0	4418.0	1597.0	0.7963398236156081	1.6277365268855142
opporelax	96486	2275.0	27940.0	20304.0	21056.0	18624.0	6248.0	0.7964197303674149	1.6279022305570376
paperdraw	13598	196.0	5059.0	2692.0	2330.0	2484.0	823.0	0.79642849655771	1.6279460234853675
sapconcur	11493	0.0	571.0	2198.0	3573.0	4325.0	823.0	0.7964234229418271	1.627928486888507
sunshinefilterofucam	13225	10.0	3338.0	3641.0	2952.0	2483.0	795.0	0.7964329903937588	1.6279530205389008
wikihow	18073	119.0	7946.0	4549.0	2826.0	1880.0	742.0	0.796411980654836	1.6279074103653977
一点音乐	14462	79.0	2033.0	1772.0	2661.0	4520.0	3364.0	0.7964276322980502	1.6279408789542522
万能wifi连接钥匙	21224	38.0	1855.0	2935.0	4535.0	6502.0	5295.0	0.7964198271376222	1.6279161589726392
京东钱包	224504	229.0	29442.0	46098.0	62001.0	63905.0	22549.0	0.7963770218910475	1.6277950183563883
今日歌王	41642	416.0	23718.0	9782.0	4602.0	2354.0	760.0	0.7963103811621997	1.6276842312612922
代练通	327467	17319.0	233155.0	52936.0	15259.0	5348.0	3338.0	0.794556446021801	1.6237167531220527
企业手机银行	416577	188.0	22008.0	63623.0	114075.0	150748.0	65536.0	0.796055424378997	1.62688013471595
优智花	12662	21.0	3423.0	3573.0	2778.0	2214.0	652.0	0.7964320531246639	1.627950588354636
会员宝收银台	23511	8.0	1404.0	4819.0	7492.0	7598.0	2179.0	0.7964172257879579	1.6279097839600314
传呼	28489	967.0	15515.0	5795.0	3658.0	1992.0	550.0	0.7963625837785865	1.6277910159899978
位置修改器	22465	127.0	5711.0	5848.0	5485.0	4106.0	1163.0	0.7964309684080201	1.6279462144779713
充电大师	246873	1554.0	37617.0	37026.0	54893.0	73375.0	41738.0	0.7963754025826969	1.627807065753228
兼客兼职-求职赚钱	37817	276.0	14623.0	10917.0	6984.0	4027.0	973.0	0.7963962236893171	1.6278534625962808
华为云电脑	186737	1654.0	34022.0	36096.0	45001.0	51832.0	17978.0	0.7964187262172927	1.6279206292523336
协通xt800	13312	7.0	1155.0	2501.0	3939.0	4528.0	1172.0	0.7964271091688312	1.627939915428787
卫宝贝	16194	6.0	193.0	1412.0	5458.0	8157.0	956.0	0.7963937938788578	1.627853577925514
口袋精灵	10824	17.0	1583.0	2835.0	3447.0	2482.0	458.0	0.7964310202017248	1.6279478872469708
